,Unet++,PSPNet,Unet,FPN,DeepLabV3,DeepLabV3+
0,0.11995826374091532,0.3090796232547449,0.1523365741798087,0.4398031012742253,0.23390355236504384,0.19470647459282814
1,0.33674336516338843,0.5625136067037998,0.4079133958920189,0.6808359914499781,0.4172657512776231,0.3825854429084321
2,0.39952493718136906,0.6228440481683482,0.568525676170121,0.7059931884641234,0.6037267352575839,0.5610260480771894
3,0.4590615074595679,0.6671182960271835,0.6241552191584004,0.7436631606972736,0.6819858946230101,0.6332675571674885
4,0.5625000848718311,0.6843682728383853,0.6965170522098956,0.7444176317557044,0.7425206135148589,0.7002636660700257
5,0.6177832076083061,0.7112657790598663,0.7136183257984079,0.7816250881423122,0.7579379191865092,0.7014417913944825
6,0.6853276083002919,0.720088214330051,0.7798094691141791,0.7750645662131519,0.7657818729462832,0.7395084681718247
7,0.7007875228705613,0.7283242403165154,0.7867403684750849,0.8033853497194208,0.7932225310284158,0.7344811856746671
8,0.719730164045873,0.7470612564812533,0.8132894674073095,0.7982290192790654,0.8040252600027167,0.7550747226113858
9,0.7345354505207229,0.7496246371580206,0.7855860305869061,0.8007623073847399,0.7995021718999614,0.7640386165484138
10,0.7459744966548422,0.7609113273413286,0.8057658348394479,0.8219251192134359,0.8088959818300996,0.7851300071115083
11,0.7750876273797904,0.7632855708184451,0.7912398421246071,0.8272275043570477,0.8073168267374454,0.7913204075201701
12,0.7916199532539947,0.7793176601762357,0.8034288740676383,0.81570893007776,0.8189433029164439,0.7915076250615328
13,0.8358687421549922,0.7691066977770433,0.8469384390374889,0.8301991846250452,0.833097192256347,0.786276006180307
14,0.8381801843643187,0.7809909944948944,0.8442220104777295,0.8395975491274958,0.8237726753172666,0.8069452837757443
15,0.8497640918130459,0.7921396208846051,0.83358208640762,0.8408209642638331,0.8402602257935898,0.8272514317346658
16,0.8650414736374565,0.7951155862082606,0.8379845735819442,0.8006099345891372,0.8373963094275934,0.8122029576612555
17,0.8643850697123487,0.8034888480020604,0.8309495436108634,0.8228828907012937,0.8485148574994957,0.8253045522648356
18,0.8559711329315021,0.7931810591531838,0.852089797673018,0.8041425687463385,0.8438661059607631,0.8259563135064165
19,0.8537535511929055,0.7932505672392636,0.8611970790054485,0.8244562265665634,0.8418926285660785,0.8249700795049252
20,0.8473647884700609,0.7822893015716389,0.8633331513923147,0.8345540088155998,0.8548361101876133,0.8189847443414773
21,0.8769736549128653,0.8028301143127939,0.849756138480228,0.8439375952534054,0.856165157712024,0.830629317008931
22,0.8726584159809608,0.7993893752927366,0.8682585177214249,0.8284421835256661,0.8376738843710525,0.8159413907838905
23,0.8630319367284359,0.7972325864045515,0.8690575451954552,0.8487082097841345,0.8458412509897479,0.8291285439677861
24,0.87088074243587,0.7981373538141667,0.8726030743640404,0.8481108753577523,0.8404794309450234,0.8461980482806329
25,0.8605055271283439,0.8040165499500607,0.8716561340767404,0.8443618364956069,0.8371407480343528,0.8228525817394258
26,0.8827388532783675,0.8059741219748624,0.8787801006565923,0.8443178495635157,0.858445114415625,0.8496536055336827
27,0.8819928674594217,0.8192859862161719,0.8779551918091981,0.8561122132384258,0.8552929305511975,0.8411431688329449
28,0.8879646607067272,0.8179450773674508,0.87753633701283,0.8616901882316753,0.8608804293300795,0.8528234310772105
29,0.8796742467776588,0.8045722349830295,0.8849843675675599,0.8511360922585364,0.8588510466658549,0.8495379103266673
30,0.8805283670840057,0.8051656536434006,0.8842138453670171,0.8562448102494942,0.8622858861218328,0.8493192377297776
31,0.8866594628147456,0.8148889334305471,0.8807756058547807,0.8559726424839186,0.868304625801418,0.8497427870397983
32,0.8766470175722372,0.8169815449611001,0.8877386049084041,0.8548329407754152,0.859509482331898,0.8519720474015111
33,0.8870519917944203,0.7985717744930932,0.8862217327822809,0.8552276220010675,0.8667815781157948,0.8503512468027031
34,0.8804630676041479,0.8270008719485741,0.8852451197479083,0.8620622002560161,0.8661702949067822,0.8542867976686228
35,0.8894702662592349,0.8211057263871897,0.8885659873485563,0.8601068102795146,0.8672528215076611,0.8475693166255949
36,0.8923853428467461,0.8346225722976355,0.8894122592780902,0.8624584661877673,0.8720205128192902,0.8586772045363551
37,0.8915664942368215,0.8098780927450759,0.88801604250203,0.8600704216438789,0.8712324163188107,0.8583023172357809
38,0.89131807114767,0.8150920569896697,0.8964353346306345,0.8636757394541865,0.8649981151456422,0.8612747943919637
39,0.8841804706532023,0.8253495874612228,0.87860738971959,0.8655615837677665,0.8670527183491249,0.8555911999681722
